title,price,year,brand,model,driveWheelConfiguration,vehicleTransmission,fuelType,mileageFromOdometer
Cavalier RS 1992 Très bonne condition 108 435 km,1700.00,1992,Chevrolet,Cavalier,Autre,Autre,Essence,108 435
BMW 435I Xdrive COUPE - 6MT Manuelle - COMME NEUVE! Bas mileage!,39900.00,2014,BMW,4-Series,4 roues motrices (4x4),Manuelle,Essence,16 000
Sprinter Mercedes-Benz 2013,24900.00,2013,Mercedes-Benz,Sprinter Van,Autre,Automatique,Diesel,147 237
2013 Volkswagen Tiguan 4Motion,13995.00,2013,Volkswagen,Tiguan,4 roues motrices (4x4),Automatique,Essence,82 000
Cadillac SRX 2004,4200.00,2004,Cadillac,SRX,4 roues motrices (4x4),Automatique,Essence,218 000
2017 Toyota Camry Hybrid - Lease transfer,360.00,2017,Toyota,Camry,Roues motrices avant,Automatique,Véhicule hybride,31 000
Mazda 2 - 2012,5000.00,2012,Mazda,Mazda2,Roues motrices avant,Manuelle,Essence,88 500
Toyota Yaris,4500.00,2007,Toyota,Yaris,Roues motrices avant,Automatique,Essence,164 500
Honda Civic 2015,18498.00,2015,Honda,Civic,Roues motrices avant,Automatique,Essence,44 600
Chevrolet Equinox LTZ - Great Condition - Negotiable Price,15000.00,2011,Chevrolet,Equinox,4 roues motrices (4x4),Automatique,Essence,95 000
2002 Acura EL Touring Berline Sedan,1380.00,2002,Acura,EL,Roues motrices avant,Automatique,Essence,225 000
"Civic SI 2014 50,000 kilo",16500.00,2014,Honda,Autre,Autre,Manuelle,Essence,50 000
"2016 BMW 328d SportLine, Cuir, Xdrive, Nav, Garanti 08/20",39995.00,2016,BMW,3-Series,4 roues motrices (4x4),Automatique,Diesel,51 000
Honda Prelude,666666666.00,2001,Honda,Prelude,Roues motrices avant,Manuelle,Essence,235
Toyota Matrix 2005 XR Full equip,3250.00,2005,Toyota,Matrix,Roues motrices avant,Automatique,Essence,169 400
BMW Sportline 2013 xdrive,23000.00,2013,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,76 000
VUS FORD ESCAPE 2017 Transfére de Bail,228.00,2017,Ford,Escape,4 roues motrices (4x4),Automatique,Essence,17 500
2002 Ford Mustang v6,4900.00,2002,Ford,Mustang,Autre,Autre,Essence,132 000
Hyundai Genesis 2013 2L TURBO Full Equip. Encore sous Garantie!!,17499.00,2013,Hyundai,Genesis Coupe,Roues motrices arrière,Manuelle,Essence,48 019
civic 1996 b16b swap,1500.00,1996,Honda,Civic,Roues motrices avant,Manuelle,Essence,260 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
Dodge Journey 2015,15000.00,2015,Dodge,Journey,Roues motrices avant,Automatique,Essence,39 000
2008 Mercedes-Benz B-Class Sedan,5000.00,2008,Mercedes-Benz,B-Class,Roues motrices avant,Autre,Essence,197 933
Audi A5 2016,915.00,2016,Audi,A5,4 roues motrices (4x4),Automatique,Essence,26 700
Mazda Tribute 2005,2700.00,2005,Mazda,Tribute,Roues motrices avant,Manuelle,Essence,159 800
2011 BMW 1-Series 128i Cabriolet,19400.00,2011,BMW,1-Series,Roues motrices arrière,Automatique,Essence,89 000
SL500 AMG 2006 14000KM,35600.00,2006,Mercedes-Benz,SLSAMG-Class,Autre,Automatique,Essence,13 661
"Buick Rainier CXL V8 5,3L AWD Tout équipé, DVD, Cuir etc.",2800.00,2004,Buick,Rainier,4 roues motrices (4x4),Automatique,Essence,182 860
INFINITI G35 / 128 000 KM / 4300$,4300.00,2003,Infiniti,G35,Roues motrices arrière,Automatique,Essence,128 000
EDGE TITANIUM 2017,306.31,2017,Ford,Edge,Autre,Automatique,Essence,10 500
Mazda 3 2007 à vendre,1995.00,2007,Mazda,Mazda3,Autre,Manuelle,Essence,229 475
Jeep Grand Cherokee Summit 2014,30.00,2014,Jeep,Grand Cherokee,4 roues motrices (4x4),Automatique,Essence,128 000
Volkswagen EOS 2009 TSI manuelle,11500.00,2009,Volkswagen,Eos,Autre,Manuelle,Essence,173 000
Jeep liberty sport 4×4 v6 3.7,1500.00,2003,Jeep,Liberty,Autre,Autre,Essence,138 000
Hyundai Santa fe,3200.00,2006,Hyundai,Santa Fe,4 x 4,Automatique,Essence,162 000
"MATRIX 2013 - 28,000 KM",15500.00,2013,Toyota,Matrix,Roues motrices avant,Manuelle,Essence,28 000
Honda Odyssey EX-L 2005 7 passagers,5300.00,2005,Honda,Odyssey,Roues motrices avant,Automatique,Essence,163 000
BMW Sportline 2013 xdrive,23000.00,2013,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,76 000
